date,candidate,fivethirtyeight,realclearpolling,nyt,natesilver,created_time
2024-07-24,Harris,0.448,,0.42,0.432,
2024-07-24,Trump,0.440,,0.43,0.447,
2024-07-25,Harris,0.446,,0.42,0.433,
2024-07-25,Trump,0.442,,0.44,0.446,
2024-07-26,Harris,0.441,,0.42,0.438,
2024-07-26,Trump,0.439,,0.43,0.443,
2024-07-27,Harris,0.442,,0.42,0.438,
2024-07-27,Trump,0.439,,0.43,0.443,
2024-07-28,Harris,0.442,,0.43,0.443,
2024-07-28,Trump,0.440,,0.44,0.450,
2024-07-29,Harris,0.444,,0.43,0.441,
2024-07-29,Trump,0.439,,0.44,0.446,
2024-07-30,Harris,0.445,,0.43,0.441,
2024-07-30,Trump,0.436,,0.44,0.444,
2024-07-31,Harris,0.447,,0.43,0.444,
2024-07-31,Trump,0.435,,0.44,0.442,
2024-08-01,Harris,0.448,,0.44,0.448,
2024-08-01,Trump,0.436,,0.44,0.441,
2024-08-02,Harris,0.450,,0.44,0.450,
2024-08-02,Trump,0.435,,0.44,0.439,
2024-08-03,Harris,0.450,,0.44,0.451,
2024-08-03,Trump,0.435,,0.44,0.439,
2024-08-04,Harris,0.452,,0.44,0.455,
2024-08-04,Trump,0.436,,0.44,0.441,
2024-08-05,Harris,0.454,,0.44,0.456,
2024-08-05,Trump,0.435,,0.44,0.438,
2024-08-06,Harris,0.450,,0.45,0.457,
2024-08-06,Trump,0.433,,0.44,0.435,
2024-08-07,Harris,0.452,,0.45,0.458,
2024-08-07,Trump,0.434,,0.44,0.437,
2024-08-08,Harris,0.454,,0.45,0.464,
2024-08-08,Trump,0.433,,0.43,0.442,
2024-08-09,Harris,0.454,,0.45,0.462,
2024-08-09,Trump,0.434,,0.43,0.439,
2024-08-10,Harris,0.457,,0.45,0.464,
2024-08-10,Trump,0.434,,0.43,0.439,
2024-08-11,Harris,0.457,,0.45,0.464,
2024-08-11,Trump,0.434,,0.43,0.438,
2024-08-12,Harris,0.460,,0.45,0.465,
2024-08-12,Trump,0.432,,0.43,0.437,
2024-08-13,Harris,0.461,0.453,0.450,,2024-08-13 12:00:36
2024-08-13,Trump,0.433,0.445,0.430,,2024-08-13 12:00:36
2024-08-13,Harris,0.461,0.454,0.45,0.466,2024-08-13 19:59:17
2024-08-13,Trump,0.434,0.446,0.44,0.438,2024-08-13 19:59:17
2024-08-14,Harris,0.461,0.454,0.45,0.468,2024-08-14 00:00:32
2024-08-14,Trump,0.434,0.446,0.43,0.437,2024-08-14 00:00:32
2024-08-14,Harris,0.461,0.454,0.45,0.468,2024-08-14 06:00:37
2024-08-14,Trump,0.434,0.446,0.43,0.437,2024-08-14 06:00:37
2024-08-14,Harris,0.461,0.454,0.45,0.468,2024-08-14 12:00:40
2024-08-14,Trump,0.434,0.446,0.43,0.437,2024-08-14 12:00:40
2024-08-15,Harris,0.462,0.456,0.46,0.469,2024-08-15 16:12:03
2024-08-15,Trump,0.435,0.446,0.44,0.438,2024-08-15 16:12:03
2024-08-15,Harris,0.462,0.456,0.46,0.469,2024-08-15 18:00:40
2024-08-15,Trump,0.435,0.445,0.44,0.438,2024-08-15 18:00:40
